scode,dlat,dlon,divi,city,sname,address
00AA01,35.6891848,139.6916481,13,新宿区,東京都庁舎（４ヶ所）,東京都新宿区西新宿2丁目8-1
00AB01,35.5612596,139.7159873,13,大田区,大田区役所本庁舎,東京都大田区蒲田5丁目13-14
00AB02,35.5858402,139.736662,13,大田区,大森地域庁舎,東京都大田区大森本町1丁目4-1 八幡橋児童公園
00AB03,35.5931186,139.6806109,13,大田区,調布地域庁舎,東京都大田区雪谷大塚町4-4-6
00AB04,35.5585628,139.7186593,13,大田区,蒲田地域庁舎,東京都大田区蒲田本町2丁目1-1
00AB05,35.557358,139.7396524,13,大田区,糀谷・羽田地域庁舎,東京都大田区東糀谷1丁目21-21-15
00AB06,35.5598154,139.7154541,13,大田区,消費者生活センター,東京都大田区蒲田5丁目13-26
00AB07,35.5629822,139.742052,13,大田区,大森東特別出張所,東京都大田区大森南2丁目2-15 大田区立森ケ崎保育園
00AB08,35.5768756444683,139.730002082268,13,大田区,大森西特別出張所,東京都大田区大森西2丁目16-2
00AB09,35.5833957,139.7268683,13,大田区,入新井特別出張所,東京都大田区大森北4丁目16-4
00AB10,35.5938968,139.709597,13,大田区,馬込特別出張所,東京都大田区中馬込3丁目25-2 馬込保育園
00AB11,35.575116,139.7102815,13,大田区,池上特別出張所,東京都大田区池上1丁目29-6 大田区池上特別出張所
00AB12,35.5797,139.7196,13,大田区,新井宿特別出張所,東京都大田区中央1丁目21-6 大田区新井宿特別出張所
00AB13,35.5878305,139.6773478,13,大田区,嶺町特別出張所,東京都大田区田園調布本町7-1 1
00AB14,35.588141504508,139.671184068778,13,大田区,田園調布特別出張所,東京都大田区田園調布1丁目30-1 田園調布富士見会館
00AB15,35.5750214,139.6852316,13,大田区,鵜の木特別出張所,東京都大田区南久が原2丁目30-5
00AB16,35.5803874,139.6939191,13,大田区,久が原特別出張所,東京都大田区久が原4丁目12-10
00AB17,35.5931186,139.6806109,13,大田区,雪谷特別出張所,東京都大田区雪谷大塚町4-4-6
00AB18,35.6058499025557,139.692630347032,13,大田区,千束特別出張所,東京都大田区北千束2丁目35-8
00AB19,35.5587354,139.7367498,13,大田区,糀谷特別出張所,東京都大田区西糀谷2丁目14-13 大田区糀谷特別出張所
00AB20,35.549152,139.742352,13,大田区,羽田特別出張所,東京都大田区羽田1丁目18-13
00AB21,35.5499224,139.7153129,13,大田区,六郷特別出張所,東京都大田区仲六郷2丁目42-17
00AB22,35.5620289,139.6902568,13,大田区,矢口特別出張所,東京都大田区矢口2丁目21-21-14
00AB23,35.5644889352112,139.710675269046,13,大田区,蒲田西特別出張所,東京都大田区西蒲田7丁目12-2
00AC01,35.5487531,139.4463123,13,町田市,町田市庁舎,東京都町田市中町1丁目20-23
00AC02,35.5783826,139.4158308,13,町田市,忠生市民センター,東京都町田市忠生3丁目14-2 町田市忠生市民センター
00AC03,35.5237496,139.4667702,13,町田市,南市民センター,東京都町田市金森4丁目5-6
